name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status
10 Inversion Roller Coaster,Steel,Sit Down,72,30,850,10,Intamin,Chimelong Paradise,operating
1001 Pattes (Perc),Steel,Sit Down,26,3,,0,Pinfari,Foire,operating
1066: Spirit of the Conqueror,Steel,Sit Down,,18,400,0,Soquet,Festyland,operating
4 Man Bob,Steel,Sit Down,,7,,0,Zierer,Alton Towers,closed definitely
4 Man Bob,Steel,Sit Down,,7,,0,Zierer,Trentham,closed definitely
7 Picos,Steel,Sit Down,,14,460,0,Schwarzkopf,Parque de Atracciones de Madrid,closed definitely
ASEAN Express,na,Sit Down,75,35,285,,Vekoma,Fantawild Asian Legends,operating
Abandon Mine,Steel,Sit Down,,,,0,Molina & Son's,Uncle Bernie's Theme Park,operating
Abismo,Steel,Sit Down,105,46,450,2,Maurer,Parque de Atracciones de Madrid,operating
Abyss,na,Sit Down,85,30,630,3,Gerstlauer,Adventure World,operating
Achtbaan,Steel,Sit Down,,,,0,Zierer,De Valkenier,operating
Achtbaan,Steel,Sit Down,,5,220,0,D.P.V. Rides,Speelpark Oud Valkeveen,operating
Achtbaan,Steel,Sit Down,,6,135,0,Preston & Barbieri,Kinderstad Heerlen,operating
Achtbaan,Steel,Sit Down,32,6,199,0,Zierer,Amusementspark Tivoli,operating
Achterbahn,Steel,Sit Down,,,,0,Pinfari,Foire,operating
Achterbahn,Steel,Sit Down,,,,0,SBF,Trampoline,closed definitely
Achterbahn,Steel,Sit Down,,,,0,Zierer,Bayern Park,operating
Achterbahn,Steel,Sit Down,,,,0,na,Freizeipark Kirchhorst,closed definitely
Achterbahn,Steel,Sit Down,,3,80,0,Zamperla,Tatzmania Löffingen,closed definitely
Achterbahn,Steel,Sit Down,50,15,560,0,Schwarzkopf,Skyline Park,operating
Aconcagua,Steel,Sit Down,93,36,751,0,Schwarzkopf,Parque de la Ciudad,closed definitely
Acrobat,Steel,Flying,90,43,1021,4,B&M,Nagashima Spa Land,operating
Across Amazon,Steel,Water Coaster,,,,0,Golden Horse,Victory Kingdom,closed temporarily
Adrenaline Peak,Steel,Sit Down,72,22,320,3,Gerstlauer,Oaks Amusement Park,operating
Adventure Express,Steel,Sit Down,56,19,903,0,Arrow,Kings Island,operating
Aero 5,na,na,,,,0,Zamperla,Benyland,operating
African Big Apple,Steel,Sit Down,,,,0,Pinfari,West Midlands Safari Park,operating
African Spin,Steel,Sit Down,30,7,113,0,SBF,Tatzmania Löffingen,operating
Afrika Expressen,Steel,Sit Down,,,,0,Pinfari,Ölands Djur & Nöjespark,relocated
AfterBurner,Steel,Sit Down,,46,,2,S&S,Wonder Island,closed definitely
Afterburn,Steel,Inverted,100,34,900,6,B&M,Carowinds,operating
Aftershock,Steel,Sit Down,106,58,367,3,Vekoma,Silverwood Theme Park,operating
Air Grover,Steel,Sit Down,,,,0,Zierer,Busch Gardens Tampa,operating
Aircraft,Steel,Sit Down,,,,0,SBF,Le Fleury,operating
Aktium,na,Water Coaster,,,,,Mack,CineCittà World,operating
Ala delta,Steel,Suspended,43,16,370,0,Reverchon,Foire,operating
Alap Alap,na,Sit Down,,,,,Zierer,Dunia Fantasi,operating
Alien vs Predator,Steel,Sit Down,0,0,0,0,na,20th Century Fox World,announced
Alligator Alley,Steel,Sit Down,,,,0,na,Foire,operating
Alpen Blizzard,na,Sit Down,,,396,,S&MC,Alpen Park,operating
Alpen-Coaster,Steel,Sit Down,,13,460,0,Schwarzkopf,Zoo Safari Stukenbrock,announced
Alpenexpress,Steel,Sit Down,45,6,264,0,Mack,Europa Park,operating
Alpengeist,Steel,Inverted,108,60,,6,B&M,Busch Gardens Williamsburg,operating
Alpina Bahn,Steel,Sit Down,80,27,910,0,Schwarzkopf,Foire,operating
